web-scraper-order;web-scraper-start-url;titulo;preco;autore
1590766869-668;https://www.amazon.com.br/s?k=feminismo+negro&page1;Cultura negra em tempos pós-modernos;R$ 0,00;por Marco Aurélio Luz
1590766869-655;https://www.amazon.com.br/s?k=feminismo+negro&page1;FEMINISMO NEGRO: A luta por reconhecimento da mulher negra no Brasil;R$ 0,00;por Ceila Sales de Almeida
1590766859-525;https://www.amazon.com.br/s?k=feminismo+negro&page4;Fique comigo;R$ 28,72;por Ayobami Adebayo e Marina Vargas
1590766866-585;https://www.amazon.com.br/s?k=feminismo+negro&page2;Racismo Recreativo (Feminismos Plurais);R$ 17,91;por Adilson Moreira
1590766853-426;https://www.amazon.com.br/s?k=feminismo+negro&page6;Deus ajude essa criança;R$ 30,90;por Toni Morrison
1590766856-457;https://www.amazon.com.br/s?k=feminismo+negro&page5;Vozes Negras;R$ 0,00;por Pétala Souza, Isa  Souza, e outros.
1590766869-662;https://www.amazon.com.br/s?k=feminismo+negro&page1;Repertório Bibliográfico sobre a Condição do Negro no Brasil;R$ 0,00;por Edições Câmara, Giselle Sousa, e outros.
1590766859-515;https://www.amazon.com.br/s?k=feminismo+negro&page4;Racismo no movimento sufragista feminino;R$ 0,00;por Angela Davis e Heci Regina Candiani
1590766859-528;https://www.amazon.com.br/s?k=feminismo+negro&page4;No fundo do poço;R$ 45,89;por Buchi Emecheta
1590766862-535;https://www.amazon.com.br/s?k=feminismo+negro&page3;Quando me descobri negra;R$ 32,00;por Bianca Santana e Mateu Velasco
1590766850-369;https://www.amazon.com.br/s?k=feminismo+negro&page7;Empoderamento (Feminismos Plurais);R$ 14,55;por Joice Berth
1590766862-543;https://www.amazon.com.br/s?k=feminismo+negro&page3;De bala em prosa: Vozes da resistência ao genocídio negro;R$ 0,00;por Vários autores
1590766853-392;https://www.amazon.com.br/s?k=feminismo+negro&page6;Eu sei por que o pássaro canta na gaiola: Autobiografia de Maya Angelou;R$ 11,61;por Maya Angelou
1590766859-489;https://www.amazon.com.br/s?k=feminismo+negro&page4;Racismo Recreativo (Feminismos Plurais);R$ 17,91;por Adilson Moreira
1590766856-460;https://www.amazon.com.br/s?k=feminismo+negro&page5;Lugar de Fala (Feminismos Plurais);R$ 13,41;por Djamila Ribeiro
1590766862-551;https://www.amazon.com.br/s?k=feminismo+negro&page3;Sem gentileza;R$ 24,78;por Futhi Ntshingila e Hilton Lima
